pdf_key;name;current_lat;current_lon;google_search_url;google_maps_url_or_coords;notes
PDF_122;Blok M Square;-6.244554;106.800676;https://www.google.com/maps/search/?api=1&query=Blok%20M%20Square%2C%20DKI%20Jakarta%2C%20Indonesia;;Paste link share Google Maps atau lat,lon setelah verifikasi
PDF_123;Polri Museum;-6.239358;106.802694;https://www.google.com/maps/search/?api=1&query=Polri%20Museum%2C%20DKI%20Jakarta%2C%20Indonesia;;Paste link share Google Maps atau lat,lon setelah verifikasi
PDF_124;Al-Azhar Great Mosque;-6.235023;106.799336;https://www.google.com/maps/search/?api=1&query=Al-Azhar%20Great%20Mosque%2C%20DKI%20Jakarta%2C%20Indonesia;;Paste link share Google Maps atau lat,lon setelah verifikasi
PDF_125;Langsat Park;-6.244205;106.792787;https://www.google.com/maps/search/?api=1&query=Langsat%20Park%2C%20DKI%20Jakarta%2C%20Indonesia;;Paste link share Google Maps atau lat,lon setelah verifikasi
PDF_126;Ciputra Artpreneur;-6.224753;106.832156;https://www.google.com/maps/search/?api=1&query=Ciputra%20Artpreneur%2C%20DKI%20Jakarta%2C%20Indonesia;;Paste link share Google Maps atau lat,lon setelah verifikasi
PDF_127;Ereveld Menteng Pulo;-6.222631;106.839288;https://www.google.com/maps/search/?api=1&query=Ereveld%20Menteng%20Pulo%2C%20DKI%20Jakarta%2C%20Indonesia;;Paste link share Google Maps atau lat,lon setelah verifikasi
PDF_128;Satria Mandala Museum;-6.231433;106.818739;https://www.google.com/maps/search/?api=1&query=Satria%20Mandala%20Museum%2C%20DKI%20Jakarta%2C%20Indonesia;;Paste link share Google Maps atau lat,lon setelah verifikasi
PDF_129;Rasuna Said Park;-6.225;106.833333;https://www.google.com/maps/search/?api=1&query=Rasuna%20Said%20Park%2C%20DKI%20Jakarta%2C%20Indonesia;;Paste link share Google Maps atau lat,lon setelah verifikasi
PDF_130;Mega Kuningan Area;-6.23073;106.82568;https://www.google.com/maps/search/?api=1&query=Mega%20Kuningan%20Area%2C%20DKI%20Jakarta%2C%20Indonesia;;Paste link share Google Maps atau lat,lon setelah verifikasi
PDF_131;Kuningan City;-6.2246;106.8296;https://www.google.com/maps/search/?api=1&query=Kuningan%20City%2C%20DKI%20Jakarta%2C%20Indonesia;;Paste link share Google Maps atau lat,lon setelah verifikasi
PDF_132;Vihara Amurva Bhumi;-6.218871;106.817972;https://www.google.com/maps/search/?api=1&query=Vihara%20Amurva%20Bhumi%2C%20DKI%20Jakarta%2C%20Indonesia;;Paste link share Google Maps atau lat,lon setelah verifikasi
PDF_133;Ragunan Zoological Park;-6.311588;106.819918;https://www.google.com/maps/search/?api=1&query=Ragunan%20Zoological%20Park%2C%20DKI%20Jakarta%2C%20Indonesia;;Paste link share Google Maps atau lat,lon setelah verifikasi
PDF_134;Setu Babakan Betawi Cultural Village;-6.341667;106.823889;https://www.google.com/maps/search/?api=1&query=Setu%20Babakan%20Betawi%20Cultural%20Village%2C%20DKI%20Jakarta%2C%20Indonesia;;Paste link share Google Maps atau lat,lon setelah verifikasi
PDF_135;Ragunan Orchard Garden;-6.304479;106.824172;https://www.google.com/maps/search/?api=1&query=Ragunan%20Orchard%20Garden%2C%20DKI%20Jakarta%2C%20Indonesia;;Paste link share Google Maps atau lat,lon setelah verifikasi
PDF_136;Ragunan Agro Edutourism;-6.3035;106.8205;https://www.google.com/maps/search/?api=1&query=Ragunan%20Agro%20Edutourism%2C%20DKI%20Jakarta%2C%20Indonesia;;Paste link share Google Maps atau lat,lon setelah verifikasi
PDF_137;Tabebuya Park;-6.328062;106.810252;https://www.google.com/maps/search/?api=1&query=Tabebuya%20Park%2C%20DKI%20Jakarta%2C%20Indonesia;;Paste link share Google Maps atau lat,lon setelah verifikasi
PDF_138;Babah Alun Desari Mosque;-6.316761;106.824356;https://www.google.com/maps/search/?api=1&query=Babah%20Alun%20Desari%20Mosque%2C%20DKI%20Jakarta%2C%20Indonesia;;Paste link share Google Maps atau lat,lon setelah verifikasi
PDF_139;Spathodea Park;-6.3225;106.823611;https://www.google.com/maps/search/?api=1&query=Spathodea%20Park%2C%20DKI%20Jakarta%2C%20Indonesia;;Paste link share Google Maps atau lat,lon setelah verifikasi
PDF_140;Ragunan Camping Ground;-6.296503;106.820062;https://www.google.com/maps/search/?api=1&query=Ragunan%20Camping%20Ground%2C%20DKI%20Jakarta%2C%20Indonesia;;Paste link share Google Maps atau lat,lon setelah verifikasi
